507,Muriel,Muriel Luis,A,Pc,13,26,13,26,Atalanta,27,24,destro,Colombia,16/04/1991 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/MURIEL.png?v=29,0,5.92,6.08
608,Zapata D.,Zapata Duvan,A,Pc,16,32,16,32,Atalanta,55,53,destro,Colombia,01/04/1991 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/ZAPATA-D.png?v=29,0,5.89,6.08
799,Bardi,Bardi Francesco,P,Por,3,1,3,1,Bologna,1,1,destro,Italia,18/01/1992 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/BARDI.png?v=29,0,6.0,6.0
5682,Molla,Molla Marco,P,Por,1,1,1,1,Bologna,0,0,destro,Albania;Italia,19/06/2002 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/MOLLA.png?v=29,1,0.0,0.0
133,Skorupski,Skorupski Lukasz,P,Por,13,11,13,11,Bologna,28,28,destro,Polonia,05/05/1991 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/SKORUPSKI.png?v=29,0,6.21,4.98
2192,Bonifazi,Bonifazi Kevin,D,Dc,1,4,1,4,Bologna,4,4,destro,Italia,19/05/1996 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/BONIFAZI.png?v=29,0,5.64,5.57
272,Medel,Medel Gary,D,Dc,6,7,6,7,Bologna,7,7,destro,Cile,03/08/1987 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/MEDEL.png?v=29,0,5.95,5.88
4891,Soumaoro,Soumaoro Adama,D,Dc,6,5,6,5,Bologna,14,14,destro,Francia;Mali,18/06/1992 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/SOUMAORO.png?v=29,0,5.97,5.84
5675,Theate,Theate Arthur,D,Dc,10,10,10,10,Bologna,0,0,sinistro,Belgio,25/05/2000 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/THEATE.png?v=29,1,0.0,0.0
5424,Amey,Amey Wisdom,D,Dd;Dc,1,1,1,1,Bologna,1,1,destro,Italia;Togo,11/05/2005 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=29,0,0.0,0.0
487,De Silvestri,De Silvestri Lorenzo,D,Dd;E,2,9,2,9,Bologna,2,2,destro,Italia,23/05/1988 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/DE-SILVESTRI.png?v=29,0,5.72,5.44
5793,Kasius,Kasius Denso,D,Dd;E,4,2,4,2,Bologna,0,0,destro,Olanda,06/10/2002 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/KASIUS.png?v=29,1,6.0,6.25
2746,Dijks,Dijks Mitchell,D,Ds;E,2,3,2,3,Bologna,0,0,sinistro,Olanda,09/02/1993 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/DIJKS.png?v=29,1,0.0,0.0
2653,Lykogiannis,Lykogiannis Charalampos,D,Ds;E,7,4,7,4,Bologna,8,8,sinistro,Grecia,22/10/1993 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/LYKOGIANNIS.png?v=29,0,5.97,6.24
5520,Cambiaso,Cambiaso Andrea,D,Dd;Ds;E,8,9,9,10,Bologna,14,15,sinistro,Italia,20/02/2000 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/CAMBIASO.png?v=29,0,5.94,5.98
50,Mbaye,Mbaye Ibrahima,D,Dd;Ds;E,1,1,1,1,Bologna,0,0,destro,Senegal,19/11/1994 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/MBAYE.png?v=29,1,0.0,0.0
4869,Dominguez,Dominguez Nicolas,C,M;C,11,8,12,9,Bologna,28,29,destro,Argentina,28/06/1998 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/DOMINGUEZ.png?v=29,0,6.22,6.28
2835,Kingsley,Kingsley Michael,C,M;C,1,1,1,1,Bologna,0,0,destro,Nigeria,26/08/1999 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/KINGSLEY.png?v=29,1,0.0,0.0
4393,Schouten,Schouten Jerdy,C,M;C,8,8,8,9,Bologna,23,24,destro,Olanda,12/01/1997 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/SCHOUTEN.png?v=29,0,6.04,5.98
5784,Aebischer,Aebischer Michel,C,C,6,4,6,3,Bologna,7,7,destro,Svizzera,06/01/1997 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/AEBISCHER.png?v=29,0,5.89,5.97
5858,Ferguson,Ferguson Lewis,C,C;T,18,5,18,5,Bologna,37,37,destro,Scozia,24/08/1999 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/FERGUSON.png?v=29,0,6.25,6.70
2625,Soriano,Soriano Roberto,C,C;T,11,12,11,12,Bologna,3,4,ambidestro,Italia;Germania,08/02/1991 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/SORIANO.png?v=29,0,6.02,6.26
2154,Vignato,Vignato Emanuel,C,W;T,5,3,5,3,Empoli,6,6,destro,Italia;Brasile,24/08/2000 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/VIGNATO.png?v=29,0,6.0,6.44
2167,Orsolini,Orsolini Riccardo,C,W;A,22,15,22,15,Bologna,67,65,sinistro,Italia,24/01/1997 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/ORSOLINI.png?v=29,0,6.2,7.06
2719,Barrow,Barrow Musa,A,A,14,17,14,17,Bologna,27,27,destro,Gambia,14/11/1998 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/BARROW.png?v=29,0,5.92,6.48
537,Sansone,Sansone Nicola,A,A,7,6,7,6,Bologna,4,4,destro,Italia,10/09/1991 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/SANSONE.png?v=29,0,6.05,6.55
4268,Arnautovic,Arnautovic Marko,A,Pc,24,27,24,26,Bologna,45,45,ambidestro,Austria;Serbia,19/04/1989 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/ARNAUTOVIC.png?v=29,0,6.31,7.72
1843,Radu I.,Radu Ionut,P,Por,3,5,3,5,Cremonese,0,0,destro,Romania,28/05/1997 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/RADU-I.png?v=29,1,6.11,4.0
42,Sarr M.,Sarr Mouhamadou,P,Por,1,1,1,1,Cremonese,1,1,destro,Senegal;Italia,05/01/1997 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/SARR-M.png?v=29,0,0.0,0.0
640,Chiriches,Chiriches Vlad,D,Dc,2,5,2,5,Cremonese,7,7,destro,Romania,14/11/1989 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/CHIRICHES.png?v=29,0,5.85,5.55
5859,Ndiaye,Ndiaye Maissa,D,Dc,1,1,1,1,Cremonese,0,0,destro,Senegal,28/01/2002 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=29,1,0.0,0.0
5860,Ravanelli,Ravanelli Luca,D,Dc,3,3,3,3,Cremonese,0,0,destro,Italia,06/01/1997 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=29,1,0.0,0.0
5514,Vasquez,Vasquez Johan,D,Ds;Dc,3,6,3,6,Cremonese,8,8,sinistro,Messico,22/04/1998 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/VASQUEZ.png?v=29,0,5.8,5.6
612,Bianchetti,Bianchetti Matteo,D,Dd;Dc,4,4,4,4,Cremonese,7,7,destro,Italia,17/03/1993 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=29,0,5.61,5.64
5861,Fiordaliso,Fiordaliso Alessandro,D,Dd;Dc,1,1,1,1,Cremonese,0,0,destro,Italia,20/03/1999 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=29,1,0.0,0.0
2847,Sernicola,Sernicola Leonardo,D,Ds;Dc;E,9,3,9,4,Cremonese,11,12,destro,Italia,30/07/1997 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/SERNICOLA.png?v=29,0,5.96,6.1
244,Ghiglione,Ghiglione Paolo,D,Dd;E,4,5,4,5,Cremonese,7,7,destro,Italia,02/02/1997 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/GHIGLIONE.png?v=29,0,5.78,6.11
